Reference   	#	Loc.	Lat.	Long.	d13C	Temp	[CO2]aqu.	ep	Log(CO2aq)
								x	
Fisher, 1989,  Indomed -leg 12	119	P	-25	21	-21.7	21.9	10.2	13.9	1.01
Fisher, 1989,  Indomed -leg 12	121	P	-26	22	-26.7	21.4	10.4	18.9	1.02
Fisher, 1989,  Indomed -leg 12	117	P	-17	16	-22.8	21.3	10.4	15.0	1.02
Fisher, 1989,  Indomed -leg 12	118	P	-21	18	-21.3	21.3	10.4	13.4	1.02
Francois et al., 1993 GBC	474	I	-35	-58	-21.7	21.2	10.5	13.9	1.02
Degens et al, 1968, DSR 15: 11-20	348	P	-5	82	-19.5	21.1	10.5	11.7	1.02
Fisher, 1989,  Indomed -leg 12	116	P	-19	17	-21.9	21.1	10.5	14.0	1.02
Fisher, 1989,  Indomed -leg 12	123	P	-29	32	-21.5	21.1	10.5	13.7	1.02
Degens et al, 1968, DSR 15: 11-20	349	P	-4	82	-18.3	21.0	10.5	10.4	1.02
Fisher, 1989,  Indomed -leg 12	122	P	-27	26	-20.5	20.7	10.6	12.6	1.02
Fisher, 1989,  Indomed -leg 12	132	P	-34	52	-20.4	20.7	10.6	12.5	1.02
Degens et al, 1968, DSR 15: 11-20	344	P	-9	80	-18.6	20.5	10.6	10.7	1.03
Fisher, 1989,  Indomed -leg 12	126	P	-30	35	-22.2	20.5	10.6	14.3	1.03
Fisher, 1989,  Indomed -leg 12	127	P	-31	38	-21.6	20.2	10.7	13.7	1.03
Fisher, 1989,  Indomed -leg 12	124	P	-29	30	-22.5	20.0	10.8	14.6	1.03
Fisher, 1989,  Indomed -leg 12	130	P	-33	49	-21.8	20.0	10.8	13.8	1.03
Fisher, 1989;  ANT-IV/2	136	P	-1000	-1000	-24.6	20.0	10.8	16.7	1.03
Francois et al., 1993 GBC	473	I	-39	-59	-20.3	19.7	10.9	12.3	1.04
Degens et al, 1968, DSR 15: 11-20	347	P	-5	82	-20.2	19.7	10.9	12.2	1.04
Degens et al, 1968, DSR 15: 11-20	343	P	-10	79	-16.5	19.7	10.9	8.5	1.04
Fontugene et al., 1991, Mar.Chem	422	P	-1000	1000	-21.7	19.4	11.0	13.7	1.04
Fisher, 1989,  Indomed -leg 12	125	P	-29	33	-22.1	19.4	11.0	14.1	1.04
Fisher, 1989,  Indomed -leg 12	128	P	-30	36	-22.4	19.1	11.1	14.3	1.04
Fisher, 1989,  Indomed -leg 12	131	P	-33	45	-22.2	19.0	11.1	14.2	1.05
Fisher, 1989,  Indomed -leg 12	129	P	-32	43	-22.5	18.9	11.1	14.4	1.05
Fontugene et al., 1991, Mar.Chem	423	P	-1000	1000	-19.7	18.8	11.2	11.6	1.05
