47	20	-18.1	-99	-99	-7.6	-99
34	-119	-20.1	-99	-99	-5.5	-99
33	-120	-20.5	-99	-99	-5.1	-99
28	-155	-20.3	-99	-99	-5.3	-99
22	82	-20.6	-99	-99	-5	-99
21	67	-23.3	-99	-99	-2.3	-99
-51	-77	-26	-99	-99	0.4	-99
-59	31	-27.6	-99	-99	2	-99
-59	46	-25.6	-99	-99	0	-99
-59	31	-27.6	-99	-99	2	-99
-60	-116	-26.4	-99	-99	0.8	-99
-60	54	-30	-99	-99	4.3	-99
-60	47	-25.9	-99	-99	0.3	-99
-61	40	-28.3	-99	-99	2.7	-99
-61	-150	-27.4	-99	-99	1.8	-99
-61	150	-32.3	-99	-99	6.7	-99
-61	-150	-28.3	-99	-99	2.7	-99
-61	55	-29.1	-99	-99	3.4	-99
-61	40	-28.3	-99	-99	2.7	-99
-62	61	-34.3	-99	-99	8.7	-99
-62	53	-32	-99	-99	6.4	-99
-63	61	-33.3	-99	-99	7.7	-99
-64	-114	-25.5	-99	-99	-0.1	-99
-65	-74	-26	-99	-99	0.4	-99
