"Latitude (S = -)","Longitude (W = -)","Depth (meters)","Holocene d13C","LGM d13C","Time series =1; Time slice = 2; PE = phytodetritus effect"
2.46,-19.76,5105,0.845,-0.3150,1
-19.59,113.54,956,0.7300,0.5100,2
-20.01,112.93,962,0.7000,0.6900,2
15.32,72.34,1230,0.2300,0.0800,2
14.50,93.10,1357,0.4000,0.0400,2
-20.90,112.33,1432,0.7400,0.5100,2
6.16,112.21,1556,-0.0440,-0.4233,2
10.46,51.56,1580,0.1483,-0.0280,2
10.13,95.03,1600,0.3400,0.0000,2
12.08,75.90,1610,0.2400,-0.1200,2
13.08,73.19,1712,0.2000,-0.1500,2
20.12,117.38,1727,-999.9900,-0.61,1
11.46,94.09,1760,0.4200,0.0300,2
-13.08,121.79,1783,0.5738,0.1057,1
8.51,112.33,1795,0.1425,-0.1733,2
14.61,52.92,1803,-0.0533,-0.09,1
14.61,52.92,1803,-0.0286,-0.0800,2
8.35,75.20,1877,0.2300,-0.1900,2
14.27,50.31,1895,-0.1400,-0.1600,2
-17.53,38.40,1934,0.7100,-999.9900,1
7.20,112.08,1953,0.0342,-0.3575,1
-19.06,112.75,1953,-999.9900,0.3150,2
-19.05,112.75,1979,0.6600,0.2700,2
12.77,96.07,2140,0.4070,-0.1200,2
-18.91,112.63,2256,0.7700,0.2000,2
19.31,60.41,2427,0.1700,-0.3900,2
16.02,91.00,2455,-999.9900,-1.0800,2
15.17,91.75,2632,-999.9900,-1.0900,2
5.12,77.58,2673,0.2700,-0.3100,2
-29.38,113.22,2750,0.5200,0.1700,2
-27.32,111.63,2755,-999.9900,0.1000,2
9.36,113.29,2772.3,0.1695,-0.1210,2
23.47,59.19,2900,-999.9900,-0.5744,2
5.38,90.36,2935,0.5850,-999.9900,1
-6.04,88.96,2992,0.0400,-0.1600,2
9.13,90.03,3010,0.3180,-0.3620,2
11.98,90.02,3069,0.2700,-0.4300,2
-43.52,79.87,3193,0.4300,-0.4,1
14.32,57.35,3212,-999.9900,-0.37,1
-6.08,89.17,3254,0.2400,-0.1600,2
-43.49,51.19,3262,0.1931,-0.3833,1
18.84,116.57,3294,0.0590,-999.9900,2
5.18,90.08,3306,0.4467,-0.1267,2
18.76,115.87,3360,0.0443,-0.3992,2
-46.48,88.02,3420,0.1000,-999.9900,1
-46.00,90.00,3420,-999.9900,-0.7100,2
-41.00,26.00,3636,-999.9900,-0.1800,2
3.00,76.00,3800,0.5300,0.1750,2
-6.12,89.58,3812,0.2700,-0.3500,2
-29.78,43.58,3924,0.4200,-0.3100,2
-6.19,89.97,4382,0.0300,-0.4500,2
23.70,-111.08,260,-999.9900,0.1500,2
23.68,-111.10,380,-0.0700,-999.9900,2
-38.65,141.19,506,1.6100,1.9200,2
23.59,-111.17,565,-0.1750,-999.9900,2
24.43,-112.48,577,-0.1300,-999.9900,2
31.44,129.02,740,-999.9900,0.3800,2
-33.50,128.03,769,1.4500,1.7300,2
-41.39,144.23,814,1.1300,1.2000,2
41.68,-124.92,860,-999.9900,0.0700,2
49.60,150.18,995,-999.9900,0.3600,2
53.55,144.55,1000,-0.1600,-999.9900,2
-33.83,130.80,1008,1.1100,1.0100,2
-42.05,144.59,1042,1.0300,0.7000,2
28.06,127.55,1058,0.0700,0.1100,2
-42.31,144.67,1085,-999.9900,0.6600,2
41.18,143.96,1145,-999.9900,-0.0300,2
32.87,-119.97,1194,-999.9900,-0.3967,2
-45.53,174.93,1210,0.9792,0.2869,2
49.14,150.34,1227,-999.9900,0.1100,2
32.07,-117.37,1299,-0.2243,-0.6100,2
-0.47,-82.07,1373,0.3225,-0.0125,2
